imdb_title_id,show_id,release_year,type,minutely,description,duration,minute_duration,rating,cast,seasonly,month_added,title,original_title,total_votes,weighted_average_vote,director,listed_in,season_duration,country,year_added,date_added
tt5979312,s2,2016,Movie,1,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",93 min,93,TV-MA,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",0,December,7:19,7:19,536,6.0,Jorge Michel Grau,"Dramas, International Movies",0,Mexico,2016,2016-12-23 00:00:00
tt2100376,s3,2011,Movie,1,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",78 min,78,R,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",0,December,23:59,23:59,802,4.6,Gilbert Chan,"Horror Movies, International Movies",0,Singapore,2018,2018-12-20 00:00:00
tt0472033,s4,2009,Movie,1,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",80 min,80,PG-13,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",0,November,9,9,131029,7.1,Shane Acker,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",0,United States,2017,2017-11-16 00:00:00
tt0478087,s5,2008,Movie,1,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,123 min,123,PG-13,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",0,January,21,21,225698,6.8,Robert Luketic,Dramas,0,United States,2020,2020-01-01 00:00:00
tt7867670,s7,2019,Movie,1,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",95 min,95,TV-MA,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",0,June,122,122,3646,6.8,Yasir Al Yasiri,"Horror Movies, International Movies",0,Egypt,2020,2020-06-01 00:00:00
tt9390026,s9,2019,Movie,1,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",118 min,118,TV-14,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",0,April,706,706,368,5.3,Shravan Kumar,"Horror Movies, International Movies",0,India,2019,2019-04-01 00:00:00
tt1301698,s10,2008,Movie,1,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,143 min,143,TV-MA,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",0,December,1920,1920,2863,6.4,Vikram Bhatt,"Horror Movies, International Movies, Thrillers",0,India,2017,2017-12-15 00:00:00
tt6214928,s11,2017,Movie,1,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",103 min,103,TV-MA,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough",0,October,1922,1922,49788,6.3,Zak Hilditch,"Dramas, Thrillers",0,United States,2017,2017-10-20 00:00:00
tt9465600,s15,2019,Movie,1,"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds.",91 min,91,R,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",0,March,3022,3022,3098,4.6,John Suits,"Independent Movies, Sci-Fi & Fantasy, Thrillers",0,United States,2020,2020-03-19 00:00:00
tt5646082,s35,2018,Movie,1,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,105 min,105,TV-14,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",0,April,#Roxy,#Roxy,239,5.0,Michael Kennedy,"Comedies, Romantic Movies",0,Canada,2019,2019-04-10 00:00:00
